Year,Battle Name,Battle Description,Battle Place,
636,Battle of Yarmouk,"Muslim Arab forces under Khalid ibn al-Walid crush a larger army of Romans, Greeks, Franks, Russians, Slavs, Armenians, Georgians and Christian Arabs under Heraclius and Constantine III, and conquer the Levant from the Roman Empire",Yarmouk,
636,Battle of al-Q?disiyyah,"Muslim Arabs decisively defeat a larger Sasanian army led by general Rostam Farrokhz?d, conquering the Sasanian capital of Ctesiphon",al-Q?disiyyah,
637,Battle of Iron Bridge,"Khalid ibn al-Walid decisively defeats a larger Roman army under Heraclius in his final battle against the Roman Empire, conquering northern Syria and southern Turkey",Iron Bridge,
637,Battle of Hazir,"Khalid ibn al-Walid defeats the garrison of Qinnasrin under Meenas at Hazim in Syria, wiping out the Byzantine force.",Hazir,
642,Battle of Nehaward,"Muslim Arabs gain a final victory over the Persian Empire, ending the Persian Sassanid dynasty",Nehaward,
642,Battle of Maserfeld,5 August – Penda of Mercia defeats and kills Oswald of Bernicia,Maserfeld,
645,Siege of Yodong fortress(645),The Chinese Tang Dynasty defeats Goguryeo.,Yodong fortress,
645,Siege of Ansi fortress,Korean Goguryeo forces defeat the Chinese Tang Dynasty.,Ansi fortress,
650,Battle of Balanjar (650s),Khazar Turks defeat the Umayyad Caliphate's forces.,Balanjar ,
655,Battle of Winwaed,Northumbrian King Oswiu defeats and kills pagan Mercian king Penda,Winwaed,
656,Battle of the Camel,"Rashidun forces under Ali ibn Abi Talib defeat a rebel army at Basra, Iraq.",the Camel,
657,Battle of Irtysh River,"Tang Chinese army led by Su Dingfang decisively defeats the Western Turkic qaghan Ashina Helu,led to the Tang conquest of the Western Turks.",Irtysh River,
658,Battle of Siffin,"Forces of Caliph Ali ibn Abi Talib battle rebel forces of Muawiyah I, Governor of Syria, indecisively.",Siffin,
660,Battle of Hwangsanbeol,"A superior Silla army defeats Baekje decisively, killing General Gyebaek.",Hwangsanbeol,
663,Battle of Baekgang,Tang Chinese and Silla forces decisively defeat Yamato Japanese and Baekje forces.,Baekgang,
668,Conquest of P'yongyang,Silla and the Chinese Tang Dynasty decisively defeat and conquer Goguryeo.,P'yongyang,
670,Battle of Dafei River,"Tang Chinese army is annihilated by the Tibetans, who take over control of the Tarim Basin.",Dafei River,
674,First Arab siege of Constantinople,The Byzantines defeat the Arabs after 4 years of siege through the use of Greek fire,Constantinople,
680,Battle of Ongal,"Bulgar and probably Slavonic forces under Khan Asparukh defeat a Byzantine army led by Emperor Constantine IV near the mouth of the river Danube. As a result, a Bulgar kingdom is founded on former Byzantine territories in the Balkan peninsula.",Ongal,
680,Battle of Kerbela,"10 October – The Umayyad forces kill all supporters and relatives of Muhammad present at Karbala, including Husain ibn Ali, the Prophet's grandson.",Kerbela,
682,Battle of Vescera,Defeat of the Umayyads under Uqba ibn Nafi by the Berbers and Byzantines.,Vescera,
683,Siege of Mecca,"Unsuccessful siege of Mecca by Umayyad forces, which allows Ibn al-Zubayr to set himself up as anti-Caliph there.",Mecca,
684,Battle of Marj Rahit,Umayyads supported by the Banu Kalb defeat a hostile tribal coalition around the Qays and secure control of Syria.,Marj Rahit,
685,Battle of 'Ayn al-Warda,"The ""Penitents"" of Kufa are annihilated by the Umayyads.",'Ayn al-Warda,
685,Battle of Dun Nechtain,"Picts defeat Northumbrians in Scotland, killing their leader.",Dun Nechtain,
689,Battle of Coronate,"The army of Cunincpert, king of the Lombards, defeat the followers of the usurper Alahis on the Adda River.",Coronate,
691,Battle of Maskin,Umayyads defeat Mus'ab ibn al-Zubayr and recover control of Iraq,Maskin,
692,Siege of Mecca,"Umayyad forces under al-Hajjaj ibn Yusuf capture Mecca, the stronghold of the anti-Caliph Ibn al-Zubayr, ending the Second Islamic Civil War in an Umayyad victory.",Mecca,
692,Battle of Sebastopolis,"Umayyads defeat Byzantine forces after the defection of 20,000 Slav soldiers.",Sebastopolis,
698,Battle of Carthage,"After a surprise attack of Byzantine forces on Carthage, Umayyad forces take back the city under very heavy losses.",Carthage,
698,Battle of Tianmenling,The Balhae and the Tang Dynasty of China collide in seeking supremacy of Manchuria.,Tianmenling,
701,Battle of Dayr al-Jamajim,Umayyad forces under al-Hajjaj ibn Yusuf defeat the Iraqi rebellion of Abd al-Rahman ibn Muhammad ibn al-Ash'ath.,Dayr al-Jamajim,
707,Siege of Tyana,Umayyads besiege the Byzantine town of Tyana over the winter and capture it after a relief army is defeated in spring.,Tyana,
708,Battle of Anchialus,Bulgarians under Tervel defeat a Byzantine army under Justinian II.,Anchialus,
709,Battle of Kabul,Part of the Islamic conquest of Afghanistan.,Kabul,
711,Battle of Guadalete,"The invading Umayyad armies defeat the Visigoths in Iberia, killing King Roderic.",Guadalete,
711,Battle of Bolchu,The Türgesh are defeated by the Eastern Turkic Khaganate.,Bolchu,
715,Battle of Compiègne,"In the first significant battle of the Frankish Civil War of 715–718, Ragenfrid defeats Theudoald.",Compiègne,
716,Battle of Cologne,Part of the Frankish Civil War of 715–718. Charles Martel suffers his only defeat.,Cologne,
716,Battle of Amblève,Part of the Frankish Civil War of 715–718. Charles Martel defeats his Neustrian and Frisian rivals.,Amblève,
717,Battle of Vincy,"Part of the Frankish Civil War. Charles Martel and the Austrasians defeat the Frankish king, Chilperic II, and his mayor of the palace, Ragenfrid.",Vincy,
717,Second Arab siege of Constantinople,Umayyad forces lay siege to the Byzantine Capital once more. They are defeated after a year by Leo III with the help of a Bulgar army under Khan Tervel.,Constantinople,
718,Battle of Soissons,The last significant battles of the Frankish civil war with Charles Martel victorious.,Soissons,
718,Battle of Covadonga,Asturian forces defeat the Umayyad invaders for the first time (date uncertain 718 – 725),Covadonga,
721,Battle of Toulouse,"9 June – Umayyad forces besiege Toulouse, subsequently lose to Odo of Aquitaine's relief troops.",Toulouse,
722,Battle of Hehil,"Britons defeat Anglo-Saxons of Wessex ""among the Cornish""",Hehil,
723,Battle of Balanjar,"Umayyad forces successfully conquer Balanjar, looting and killing its population in the process.",Balanjar,
724,Day of Thirst,Umayyad army is routed by the Turgesh; beginning of the collapse of the Umayyad position in Transoxiana,Thirst,
727,Siege of Nicaea,Umayyad forces unsuccessfully besiege Nicaea for 40 days.,Nicaea,
729,Battle of Baykand,Umayyad forces break through Turgesh encirclement and reach Bukhara.,Baykand,
729,Siege of Kamarja,Umayyad Arabs defend the fortress of Kamarja for 58 days against overwhelming Turgesh numbers before being allowed to retire.,Kamarja,
729,Battle of Ravenna (729),Byzantine forces are defeated by Italians following an argument about icon veneration.,Ravenna ,
732,Battle of Tours,"10 October – Umayyad forces, led by Abd er-Rahman, lose to Charles Martel near Poitiers.",Tours,
734,Battle of the Boarn,"Charles Martel defeats the Frisians, killing King Poppo and ending the Frisian Kingdom.",the Boarn,
737,Battle of the Baggage,Turgesh drive back an Umayyad invasion of Khuttal and capture their baggage train.,the Baggage,
737,Battle of Kharistan,"Umayyad governor of Khorasan Asad ibn Abdallah al-Qasri defeats the Turgesh khagan in battle, alting the Turgesh invasion south of the Oxus river.",Kharistan,
740,Battle of Akroinon,Byzantine emperor Leo III the Isaurian wins an important victory over the Umayyads in modern Turkey.,Akroinon,
740,Battle of the Nobles,"Berber forces defeat the Umayyads near Tangier, killing their leader and 10,000 Arabs.",the Nobles,
746,Battle of Keramaia,The Cibyrrhaeots defeat the Egyptian fleet of the Umayyad Caliphate.,Keramaia,
746,Battle of Rupar Thutha,Kufa and Mosul taken by Marwan II.,Rupar Thutha,
750,Battle of Bråvalla,The Danish army is defeated by the Swedish.,Bråvalla,
750,Battle of Zab,Decisive victory for the Abbasids resulting in the Umayyads' fall and rise of a new Caliphat.,Zab,
751,Battle of Talas,Abbasid forces defeat Tang forces at the banks of Talas River.,Talas,
756,Battle of Yongqiu,Tang forces deal a decisive blow to the Yan during the An Shi Rebellion.,Yongqiu,
756,Battle of the Long Walls,"The Bulgar Khan Kormisosh is defeated by the Byzantine forces of Emperor Constantine V. As a result, the Bulgars overthrow Kormissosh and a period of political instability begins in the Bular khanate.",the Long Walls,
756,Battle of Marcellae,Emperor Constantine V of Byzantium defeats a Bulgar army under the new Khan Vinekh.,Marcellae,
757,Battle of Suiyang,Pyrrhic victory for the Yan against Tang forces.,Suiyang,
759,Battle of the Rishki Pass,Bulgar Khan Vinekh defeats a Byzantine army in a mountain pass.,the Rishki Pass,
763,Battle of Bakhamra,The Abbasids under Isa ibn Musa crush an Alid rebel army under Ibrahim ibn Abdallah.,Bakhamra,
763,Battle of Anchialus,The Bulgar Khan Telets is defeated by the Byzantine Emperor Constantine V.,Anchialus,
766,Siege of Kamacha,Unsuccessful attack on the Byzantine border fortress of Kamacha by the Abbasids.,Kamacha,
772,Battle of Janbi,Rustamid state established in Morocco,Janbi,
774,Battle of Berzitia,Superior Byzantine forces led by Constantine V crush a Bulgar army led by Khan Telerig.,Berzitia,
775,Battle of Bagrevand,"The Abbasid Caliphate defeats a major Armenian rebellion and kills its leaders. Muslim control over Transcaucasia is solidified, while several major Armenian nakharar families lose power and flee to the Byzantine Empire.",Bagrevand,
778,Battle of Roncesvalles,"Basques defeat an invading Frankish army. Roland, Paladin of Charlemagne, dies.",Roncesvalles,
786,Battle of Fakhkh,"A Hasanid Alid uprising in Mecca is crushed by the Abbasids. Idris ibn Abdallah flees to the Maghreb, where he later founds the Idrisid dynasty.",Fakhkh,
788,Battle of Kopidnadon,Abbasid forces defeat Byzantine forces.,Kopidnadon,
791,Battle of Raab,Charlemagne defeats the Avars and as a result subdues Pannonia in vassalage.,Raab,
792,Battle of Marcellae,The Bulgar Khan Kardam defeats a Byzantine army under Emperor Constantine VI.,Marcellae,
800,Second siege of the Avar Hring,"The new Bulgar Khan Krum crushes the last surviving part of the Avar Khaganate under Khagan Abraham, a vassal of Charlemagne.",the Avar Hring,
801,Battle of Weizhou,Tang Chinese forces decisively defeat Tibetan forces in the South-West front,Weizhou,
804,Battle of Krasos,Abbasids under Ibrahim ibn Jibril surprise and defeat the Byzantine emperor Nikephoros I,Krasos,
809,Siege of Serdica,"Bulgar Khan Krum seizes the fortified Byzantine town of Serdica, nowadays Sofia.",Serdica,
811,Battle of Pliska,"Nikephoros I of the Byzantine Empire captures and destroys the Bulgar capital, Pliska, only to be crushingly defeated and killed a few days later by the Bulgar khan Krum.",Pliska,
813,Battle of Versinikia,The Bulgars of Krum defeat the Byzantines of Emperor Michael I Rangabe.,Versinikia,
814,Battle of Burdizon,A Bulgar force led by the new Khan Omurtag is defeated by a Byzantine army of Emperor Leo V. A peace treaty follows as a result.,Burdizon,
819,Battle of Yanzhou,Tang Chinese forces decisively defeat Tibetan forces in the North-West front,Yanzhou,
822,Battle of Kedouktos,"The Bulgars of Khan Omurtag attack the Byzantine rebel Thomas the Slav as a favour to Byzantine Emperor Michael II, but are defeated.",Kedouktos,
825,Battle of Ellandun,"Egbert of Wessex defeats Beornwulf of Mercia, ending Mercian supremacy.",Ellandun,
829,Battle of Thasos,The Cretan Saracens defeat the Byzantines off Thasos.,Thasos,
838,Battle of Anzen,Theophilus is defeated by the Abbasids in modern Turkey.,Anzen,
838,Battle of Hingston Down,"Egbert of Wessex defeats a Cornish and Viking army, ending Cornish independence.",Hingston Down,
845,Battle of Ballon,Charles the Bald of West Francia is defeated by the Bretons of Nominoe,Ballon,
849,Battle of Ostia,An Italian alliance fleet defeats Saracen pirates.,Ostia,
863,Battle of Lalakaon,Byzantines under Michael III defeat the Emirate of Melitene forces decisively.,Lalakaon,
870,Siege of Melite,Aghlabids under Saw?da Ibn Mu?ammad capture the Byzantine city of Melite.,Melite,
870,Battle of Englefield,Anglo-Saxons under Æthelwulf defeat the Danelaw Vikings.,Englefield,
871,Battle of Reading,"Ethelred of Wessex and Alfred the Great are defeated by a Danish army, suffering heavy losses.",Reading,
872,Battle of Hafrsfjord,"Harald Hårfagre takes over great parts of Norway, The Country of Norway is regarded to be founded after the battle.",Hafrsfjord,
872,Battle of Bathys Ryax,"(possibly also in 878) – The Byzantine Empire defeats the Paulician heretics, killing their leader Chrysocheir.",Bathys Ryax,
872,Battle of Kardia,Byzantine admiral Niketas Ooryphas defeats a fleet of Cretan Saracens under the renegade Photios.,Kardia,
873,Battle of the Gulf of Corinth,"(possibly as late as 879) – Byzantine admiral Niketas Ooryphas defeats a fleet of Cretan Saracens and kills their commander, the renegade Photios.",the Gulf of Corinth,
878,Battle of Sunday,"King Rhodri the Great of Gwynedd, his brother Gwriad, and Prince Gweirydd of Glywysing fall during a Mercian invasion, before the women of Anglesey drive the Saxons off the island",Sunday,
878,Battle of Edington,West Saxons under Alfred the Great defeat the Danelaw Vikings.,Edington,
878,Battle of Cynwit,"West Saxons, said to have been under the command of a certain ealdorman named Odda, defeat a Viking army, killing their leader, an unnamed man who may have been identical to Ubba.",Cynwit,
878,,Vikings defeat forces of St Cuthbert in West Sussex,#VALUE!,
880,Battle of Cephalonia,Byzantine admiral Nasar defeats an Aghlabid fleet in a night attack off western Greece.,Cephalonia,
880,Battle of Stelai,Byzantine admiral Nasar defeats an Aghlabid fleet off southern Italy.,Stelai,
880,,The Byzantines under Leo Apostyppes capture Taranto from the Muslims.,#VALUE!,
881,Battle of the Conwy,"Anarawd ap Rhodri defeats the Mercians under Æthelred, Lord of the Mercians. Known in Welsh as Dial Rhodri: the Avenging of Rhodri.",the Conwy,
885,Battle of Tawahin,Tulunids defeat Abbasid attempt at recovering Syria and Egypt.,Tawahin,
891,Battle of Leuven,"Arnulf of the Franks defeats a Viking army, ending their invasion.",Leuven,
